+	tasɯ
ソーシャルサービス	soːɕaɾɯsaːbisɯ
ソーシャルスキル	soːɕaɾɯsɯkiɾɯ
ソーシャルスキルズトレーニング	soːɕaɾɯsɯkiɾɯzɯtoɾeːniɴgɯ
ソーシャルセキュリティー	soːɕaɾɯsekjɯɾiteiː
ソーシャルダンス	soːɕaɾɯdaɴsɯ
ソーシャルダンピング	soːɕaɾɯdaɴpiɴgɯ
ソーシャルネットワーキング	soːɕaɾɯnetːoɰᵝaːkiɴgɯ
ソーシャルネットワーキングサービス	soːɕaɾɯnetːoɰᵝaːkiɴgɯsaːbisɯ
ソーシャルメディア	soːɕaɾɯmedeia
ソーシャルメディアハラスメント	soːɕaɾɯmedeiahaɾasɯmeɴto
ソーシャルメディア・ハラスメント	soːɕaɾɯmedeia haɾasɯmeɴto
ソーシャルリクルーティング	soːɕaɾɯɾikɯɾɯːteiɴgɯ
ソーシャルワーカー	soːɕaɾɯɰᵝaːkaː
ソーシャルワーク	soːɕaɾɯɰᵝaːkɯ
ソーシャル・アクション	soːɕaɾɯ akɯɕoɴ
ソーシャル・エコロジー	soːɕaɾɯ ekoɾodʑiː
ソーシャル・エンジニアリング	soːɕaɾɯ eɴdʑiniaɾiɴgɯ
ソーシャル・グループ・ワーク	soːɕaɾɯ gɯɾɯːpɯ ɰᵝaːkɯ
ソーシャル・ケースワーカー	soːɕaɾɯ keːsɯɰᵝaːkaː
ソーシャル・ケースワーク	soːɕaɾɯ keːsɯɰᵝaːkɯ
ソーシャル・ゲーム	soːɕaɾɯ geːmɯ
ソーシャル・コスト	soːɕaɾɯ kosɯto
ソーシャル・サービス	soːɕaɾɯ saːbisɯ
ソーシャル・スキル	soːɕaɾɯ sɯkiɾɯ
ソーシャル・セキュリティー	soːɕaɾɯ sekjɯɾiteiː
ソーシャル・ダンス	soːɕaɾɯ daɴsɯ
ソーシャル・ダンピング	soːɕaɾɯ daɴpiɴgɯ
ソーシャル・ネットワーキング	soːɕaɾɯ netːoɰᵝaːkiɴgɯ
ソーシャル・ネットワーキング・サービス	soːɕaɾɯ netːoɰᵝaːkiɴgɯ saːbisɯ
ソーシャル・メディア	soːɕaɾɯ medeia
ソーシャル・リクルーティング	soːɕaɾɯ ɾikɯɾɯːteiɴgɯ
ソーシャル・ワーカー	soːɕaɾɯ ɰᵝaːkaː
ソーシャル・ワーク	soːɕaɾɯ ɰᵝaːkɯ
ソーシャル就活	soːɕaɾɯɕɯɯkatsɯ
ソーシング	soːɕiɴgɯ
ソース	soːsɯ
ソースアーカイブ	soːsɯaːkaibɯ
ソースイメージ	soːsɯimeːdʑi
ソースコード	soːsɯkoːdo
ソースコード管理システム	soːsɯkoːdokaɴɾiɕisɯtemɯ
ソーストラヒック	soːsɯtoɾaçikːɯ
ソースドライブ	soːsɯdoɾaibɯ
ソースパン	soːsɯpaɴ
ソースファイル	soːsɯɸaiɾɯ
ソースプログラム	soːsɯpɯɾogɯɾamɯ
ソースモジュール	soːsɯmodʑɯːɾɯ
ソースルーティング	soːsɯɾɯːteiɴgɯ
ソースルート	soːsɯɾɯːto
ソースレベル互換	soːsɯɾebeɾɯgokaɴ
ソース・アーカイブ	soːsɯ aːkaibɯ
ソース・イメージ	soːsɯ imeːdʑi
ソース・トラヒック	soːsɯ toɾaçikːɯ
ソース・ドライブ	soːsɯ doɾaibɯ
ソース・ファイル	soːsɯ ɸaiɾɯ
ソース・プログラム	soːsɯ pɯɾogɯɾamɯ
ソース・モジュール	soːsɯ modʑɯːɾɯ
ソース・ルーティング	soːsɯ ɾɯːteiɴgɯ
ソース・ルート	soːsɯ ɾɯːto
ソース接地	soːsɯ setsɯ tɕi
ソース顔	soːsɯgao
ソーセージ	saːseːdʑi
ソーセージ	soːseːdʑi
ソータ	sota
ソーター	soːtaː
ソーダ	soːda
ソーダガラス	soːdagaɾasɯ
ソーダクラッカー	soːdakɯɾakːaː
ソーダパルプ	soːdapaɾɯpɯ
ソーダファウンテン	soːdaɸaɯɴteɴ
ソーダフロート	soːdaɸɯɾoːto
ソーダブレッド	soːdabɯɾedːo
ソーダ・ガラス	soːda gaɾasɯ
ソーダ・クラッカー	soːda kɯɾakːaː
ソーダ・パルプ	soːda paɾɯpɯ
ソーダ・ファウンテン	soːda ɸaɯɴteɴ
ソーダ・フロート	soːda ɸɯɾoːto
ソーダ・ブレッド	soːda bɯɾedːo
ソーダ工業	soːdakoɯgjoɯ
ソーダ水	soːdasɯi
ソーダ灰	soːdabai
ソーダ石灰	soːdasekːai
ソーダ石灰ガラス	soːdasekːaigaɾasɯ
ソーダ石鹸	soːdasekːeɴ
ソーティング	soːteiɴgɯ
ソーティー	soːteiː
ソーテック	soːtekːɯ
ソーテルヌ	soːteɾɯnɯ
ソート	soːto
ソートキー	soːtokiː
ソート・キー	soːto kiː
ソード	soːdo
ソード	sɔː dɔ
ソードテール	soːdoteːɾɯ
ソーナノ	soːnano
ソーナー	soːnaː
ソーハラ	soːhaɾa
ソープ	soːpɯ
ソープオペラ	soːpɯopeɾa
ソープランド	soːpɯɾaɴdo
ソープランド	sːoːpɯɾaɴdo
ソープレスソープ	soːpɯɾesɯsoːpɯ
ソープレス・ソープ	soːpɯɾesɯ soːpɯ
ソープレディ	soːpɯɾedei
ソープ・オペラ	soːpɯ opeɾa
ソープ・レディ	soːpɯ ɾedei
ソープ嬢	soːpɯdʑoɯ
ソーホー	soːhoː
ソーマ	soːma
ソーラン節	soːɾaɴbɯɕi
ソーラー	soːɾaː
ソーラーカー	soːɾaːkaː
ソーラーカーレース	soːɾaːkaːɾeːsɯ
ソーラーコレクター	soːɾaːkoɾekɯtaː
ソーラーシステム	soːɾaːɕisɯtemɯ
ソーラーセイル	soːɾaːseiɾɯ
ソーラーセル	soːɾaːseɾɯ
ソーラーセール	soːɾaːseːɾɯ
ソーラーハウス	soːɾaːhaɯsɯ
ソーラーパネル	soːɾaːpaneɾɯ
ソーラーパワー	soːɾaːpaɰᵝaː
ソーラープレーン	soːɾaːpɯɾeːɴ
ソーラーポンド	soːɾaːpoɴdo
ソーラー・カー	soːɾaː kaː
ソーラー・カー・レース	soːɾaː kaː ɾeːsɯ
ソーラー・コレクター	soːɾaː koɾekɯtaː
ソーラー・システム	soːɾaː ɕisɯtemɯ
ソーラー・セイル	soːɾaː seiɾɯ
ソーラー・セル	soːɾaː seɾɯ
ソーラー・セール	soːɾaː seːɾɯ
ソーラー・ハウス	soːɾaː haɯsɯ
ソーラー・パネル	soːɾaː paneɾɯ
ソーラー・パワー	soːɾaː paɰᵝaː
ソーラー・プレーン	soːɾaː pɯɾeːɴ
ソーラー・ポンド	soːɾaː poɴdo
ソーリー	soːɾiː
ソール	soːɾɯ
ソール	sːoːɾɯ
ソールフル	soːɾɯɸɯɾɯ
ソールミュージック	soːɾɯmjɯːdʑikːɯ
ソール・ミュージック	soːɾɯ mjɯːdʑikːɯ
ソーン	soːɴ
ソー活	soːkatsɯ
ソ連	soɾeɴ
ソ連圏	soɾeɴkeɴ
ソ連崩壊	sʊ̞ːɾeɴhoɯkai
ソ連軍	soɾeɴgɯɴ
ソ連邦	soɾeɴpoɯ
ゾ	sɑ̃
ゾ	tsɔ
ゾ	zo
ゾイサイト	zoisaito
ゾゥァラジカル	zoɯaɾadʑikaɾɯ
ゾゥアラジィ	zoɯaɾadʑii
ゾウ	zoː
ゾウがいる。	zoɯgaiɾɯ
ゾウアラジカル	zoɯaɾadʑikaɾɯ
ゾウオロジー	zoɯoɾodʑiː
ゾウガメ	zoɯgame
ゾウゲヤシ	zoɯgejaɕi
ゾウディアック	zoɯdeiakːɯ
ゾウリムシ	zolimɕi
ゾウン	zoɯɴ
ゾエア	zoea
ゾクチェン	zokɯtɕaɴ
ゾクリとする	zokɯɾito sɯɾɯ
ゾッと	zoʔto
ゾッキー	zokːiː
ゾディアック	zodeiakːɯ
ゾヌーダとの戦いが終わった直後	tszonuːda to notatakai ga ovatta tɕokugo
ゾピクロン	zopikɯɾoɴ
ゾフルーザ	sofɾɯːza
ゾリラ	zoɾiɾa
ゾル	zoɾɯ
ゾロ	zoɾo
ゾロアスター	zoɾoasɯtaː
ゾロアスター教	zoɾoasɯtaːkjoɯ
ゾロアスター教	zrɔaasɯtaː kjoɯ
ゾロアーク	zɾɯaːkɯ
ゾロ目	zoɾome
ゾロ薬	zoɾojakɯ
ゾンデ	zoɴde
ゾンビ	zoɴbi
ゾンビに噛まれる	zɴbɯnikamaɾeɾɯ
ゾンビ会社	zoɴbikaiɕa
ゾンビ達の襲撃によって	tszonbi tatɕi no ɕuːgeki ni ɪotte
ゾース	zoːsɯ
ゾーディアック	zoːdeiakːɯ
ゾーニング	zoːniɴgɯ
ゾープ	zoːpɯ
ゾーン	zoːɴ
ゾーンディフェンス	zoːɴdeiɸɯeɴsɯ
ゾーンパンチ	zoːɴpaɴtɕi
ゾーンメルティング	zoːɴmeɾɯteiɴgɯ
ゾーン・ディフェンス	zoːɴ deiɸɯeɴsɯ
ゾーン・パンチ	zoːɴ paɴtɕi
ゾーン・メルティング	zoːɴ meɾɯteiɴgɯ
ゾーン形式	zoːɴkeiɕiki
タ	ka
タ	ta
タ	tap
タ	ta˥˩
タ	tˈɛˈ
タイ	tai
タイ	taj
タイ	tã̠i˨˩
タイ	tɐ̝e̞
タイ	t̥
タイア	taia
タイアップ	taiapːɯ
タイアップ番組	taiapːɯbaɴgɯmi
タイカラー	taikaɾaː
タイガ	taiga
タイガ	tajga
タイガー	taigaː
タイガー	tai̠gaː
タイガーエンジェルフィッシュ	taigaːeɴdʑieɾɯɸiɕːɯ
タイガーシャーク	taigaːɕaːkɯ
タイガーショベルノーズキャットフィッシュ	taigaːɕobeɾɯnoːzɯkjatːoɸiɕːɯ
タイガース	taigaːsɯ
タイガー・シャーク	taigaː ɕaːkɯ
タイガー・ショベルノーズ・キャットフィッシュ	taigaː ɕobeɾɯnoːzɯ kjatːoɸiɕːɯ
タイキ	taiki
タイゲーム	taigeːmɯ
タイコウチ	taikoɯtɕi
タイゴン	taigoɴ
タイサンボク	taisaɴbokɯ
タイショク	taiɕokɯ
タイシン	taiɕin
タイスケ	taisuke
タイセイヨウカマイルカ	taiseijoɯkamaiɾɯka
タイセイヨウクロマグロ	taiseijoɯkɯɾomagɯɾo
タイセイヨウサケ	taiseijoɯsake
タイセイヨウセミクジラ	taiseijoɯsemikɯdʑiɾa
タイセイヨウダラ	taiseijoɯdaɾa
タイセイヨウニシン	taiseijoɯniɕiɴ
タイセイヨウマダライルカ	taiseijoɯmadaɾaiɾɯka
タイタック	taitakːɯ
タイタニック	taitanikːɯ
タイタン	taitaɴ
タイダイ	taidai
タイダル	taidaɾɯ
タイチ	taiitɕi
タイツ	taiketsɯ
タイツ	taitsɯ
タイト	taito
タイトスカート	ta ito sɯkaːto
タイトスカート	taitosɯkaːto
タイトバック	taitobakːɯ
タイトラー	taitoɾaː
タイトリージョン	taitoɾiːdʑoɴ
タイトル	taitoɾɯ
タイトルチューン	taitoɾɯtɕɯːɴ
タイトルバック	taitoɾɯbakːɯ
タイトルバー	taitoɾɯbaː
タイトルページ	taitoɾɯpeːdʑi
タイトルホルダー	taitoɾɯhoɾɯdaː
タイトルマスタ	taitoɾɯmasɯta
タイトルマッチ	taitoɾɯmatɕːi
タイトルリージョン	taitoɾɯɾiːdʑoɴ
タイトルロール	taitoɾɯɾoːɾɯ
タイトル・チューン	taitoɾɯ tɕɯːɴ
タイトル・バック	taitoɾɯ bakːɯ
タイトル・バー	taitoɾɯ baː
タイトル・ページ	taitoɾɯ peːdʑi
タイトル・マスタ	taitoɾɯ masɯta
タイトル・マッチ	taitoɾɯ matɕːi
タイトル・ロール	taitoɾɯ ɾoːɾɯ
タイトル戦	taitoɾɯseɴ
タイトロープ	taitoɾoːpɯ
タイト・スカート	taito sɯkaːto
タイト・バック	taito bakːɯ
タイド	taido
タイドプール	taidopɯːɾɯ
タイドローン	taidoɾoːɴ
タイド・プール	taido pɯːɾɯ
タイド・ローン	taido ɾoːɴ
タイド援助	taidoeɴdʑo
タイバック	taibakːɯ
タイパン	taipaɴ
タイピスト	taipisɯto
タイピン	taipiɴ
タイピング	taipiɴgɯ
タイフーン	taiɸɯːɴ
タイブレーカ	taibɯɾeːka
タイブレーカー	taibɯɾeːkaː
タイブレーク	taibɯɾeːkɯ
タイプ	taipɯ
タイプ	taiɯpɯ
タイプをうつ	taipuː oɯtsɯ
タイプイン	taipɯiɴ
タイプスタイル	taipɯsɯtaiɾɯ
タイプセッター	taipɯsetːaː
タイプヒンティング	taipɯçiɴteɴgɯ
タイプファミリ	taipɯɸamiɾi
タイプフェース	taipɯɸɯeːsɯ
タイプミス	taipɯmisɯ
タイプライタ	taipɯɾaita
タイプライター	taipɯɾaitaː
タイプライター	t̥it̥ɯ̟ᵝɾait̥aː
タイプライブラリ	taipɯɾaibɯɾaɾi
タイプ・イン	taipɯ iɴ
タイプ・スタイル	taipɯ sɯtaiɾɯ
タイプ・ファミリ	taipɯ ɸamiɾi
タイプ・ミス	taipɯ misɯ
タイプ・ライブラリ	taipɯ ɾaibɯɾaɾi
タイプ練習	taipɯɾeɴɕɯɯ
タイヘイヨウアカボウモドキ	taiheijoɯakaboɯmodoki
タイヘイヨウオウギハクジラ	taiheijoɯoɯgihakɯdʑiɾa
タイポ	taipo
タイポグラフィ	taipogɯɾaɸi
タイポグラフィ	tajpɔglafˈi
タイポグラフィー	taipogɯɾaɸiː
タイマ	taima
タイマイ	taimai
タイマン	taimaɴ
タイマン勝負なんだけど	tai man ɕoːbuna ndakedo
タイマー	taimaː
タイミング	taihimiɴgɯ
タイミング	taimiɴgɯ
タイミングよく	taimiɴgɯjokɯ
タイミングチャート	taimiɴgɯtɕaːto
タイミング・チャート	taimiɴgɯ tɕaːto
タイミング信号	taimiɴgɯɕiɴgoɯ
タイミング図	taimiɴgɯzɯ
タイム	taimɯ
タイム	tai̥mɯ
タイムを計る	taimɯ ohakaɾɯ
タイムアウト	taimɯaɯto
タイムアタック	taimɯatakːɯ
タイムアップ	taimɯapːɯ
タイムインテリジェンス	taimɯiɴteɾidʑieɴsɯ
タイムカプセル	taimɯkapɯseɾɯ
タイムカード	taimɯkaːdo
タイムキーパー	taimɯkiːpaː
タイムコード	taimɯkoːdo
タイムサービス	taimɯsaːbisɯ
タイムシェア	taimɯɕiea
タイムシェアリング	taimɯɕieaɾiɴgɯ
タイムシェアリングシステム	taimɯɕieaɾiɴgɯɕisɯtemɯ
タイムシェアリング・システム	taimɯɕieaɾiɴgɯ ɕisɯtemɯ
タイムシフト	taimɯɕiɸɯto
タイムシート	taimɯɕiːto
タイムスイッチ	taimɯsɯitɕːi
タイムスケジュール	taimɯsɯkedʑɯːɾɯ
タイムスタンプ	taimɯsɯtaɴpɯ
タイムスタンプカウンタ	taimɯsɯtaɴpɯkaɯɴta
タイムスライシング	taimɯsɯɾaiɕiɴgɯ
タイムスライス	taimɯsɯɾaisɯ
タイムスリップ	taimɯsɯɾipːɯ
タイムスリップする	taimɯsɯɾiːpːɯsɯɾɯ
タイムズ	taimɯzɯ
タイムセール	taimɯseːɾɯ
タイムテーブル	taimɯteːbɯɾɯ
タイムトライアル	taimɯtoɾaiaɾɯ
タイムトライアルロードレース	taimɯtoɾaiaɾɯɾoːdoɾeːsɯ
タイムトラベル	taimɯtoɾabeɾɯ
タイムトリップ	taimɯtoɾipːɯ
タイムトンネル	taimɯtoɴneɾɯ
タイムパス	taimɯpasɯ
タイムフェンス	taimɯɸɯeɴsɯ
タイムプレイスオケイジョン	taimɯpɯɾeisɯokeidʑoɴ
タイムボカン	tâi̯mɯ̟ᵝbõ̞kã̠ɴ
タイムマシン	taimɯmaɕiɴ
タイムマシーン	taimɯmaɕiːɴ
タイムライン	taimɯɾaiɴ
タイムラグ	taimɯɾagɯ
タイムリ	taimɯɾi
タイムリエラー	taimɯɾieɾaː
タイムリヒット	taimɯɾiçitːo
タイムリミット	taimɯɾimitːo
タイムリ・エラー	taimɯɾi eɾaː
タイムリ・ヒット	taimɯɾi çitːo
タイムリー	taimɯɾiː
タイムリー	tâi̯mɯ̟ᵝɾiː˧
タイムリーエラー	taimɯɾiːeɾaː
タイムリーヒット	taimɯɾiːçitːo
タイムリー・エラー	taimɯɾiː eɾaː
タイムリー・ヒット	taimɯɾiː çitːo
タイムレコーダー	taimɯɾekoːdaː
タイムレス	taimɯɾesɯ
タイムレース	taimɯɾeːsɯ
タイムワーク	taimɯɰᵝaːkɯ
タイムワープ	taimɯɰᵝaːpɯ
タイム・アタック	taimɯ atakːɯ
タイム・アップ	taimɯ apːɯ
タイム・インテリジェンス	taimɯ iɴteɾidʑieɴsɯ
タイム・カプセル	taimɯ kapɯseɾɯ
タイム・コード	taimɯ koːdo
タイム・サービス	taimɯ saːbisɯ
タイム・シェアリング	taimɯ ɕieaɾiɴgɯ
タイム・スケジュール	taimɯ sɯkedʑɯːɾɯ
タイム・スタンプ	taimɯ sɯtaɴpɯ
タイム・スタンプ・カウンタ	taimɯ sɯtaɴpɯ kaɯɴta
タイム・スライシング	taimɯ sɯɾaiɕiɴgɯ
タイム・スライス	taimɯ sɯɾaisɯ
タイム・スリップ	taimɯ sɯɾipːɯ
タイム・セール	taimɯ seːɾɯ
タイム・トライアル	taimɯ toɾaiaɾɯ
タイム・トライアル・ロード・レース	taimɯ toɾaiaɾɯ ɾoːdo ɾeːsɯ
タイム・トラベル	taimɯ toɾabeɾɯ
タイム・トリップ	taimɯ toɾipːɯ
タイム・トンネル	taimɯ toɴneɾɯ
タイム・フェンス	taimɯ ɸɯeɴsɯ
タイム・プレイス・オケイジョン	taimɯ pɯɾeisɯ okeidʑoɴ
タイム・マシン	taimɯ maɕiɴ
タイム・マシーン	taimɯ maɕiːɴ
タイム・ラグ	taimɯ ɾagɯ
タイム・リミット	taimɯ ɾimitːo
タイム・レコーダー	taimɯ ɾekoːdaː
タイム・レース	taimɯ ɾeːsɯ
タイム・ワープ	taimɯ ɰᵝaːpɯ
タイム誌	taimɯɕi
タイム順位を問わず	taimu dʑuni o tovazu
タイモグラ	taimogɯɾa
タイヤ	taija
タイヤチェーン	taijatɕeːɴ
タイヤル族	aijaɾɯsokɯ
タイヤローラー	taijaɾoːɾaː
タイヤ・チェーン	taija tɕeːɴ
タイヤ・ローラー	taija ɾoːɾaː
タイヤ痕	taijakoɴ
タイヨウのうた	taihoɯnoɯta
タイヨウのうた	tajoɯnoɯta
タイヨウチョウ	taijoɯtɕoɯ
タイラ	taiɾa
タイラギ	taiɾagi
タイラノサウルス	taiɾanosaɯɾɯsɯ
タイラノザウルス	taiɾanozaɯɾɯsɯ
タイラント	taiɾaɴto
タイリクモモンガ	taiɾikɯmomoɴga
タイリング	taiɾiɴgɯ
タイリングウィンドウ方式	taiɾiɴgɯɯiɴdoɯhoɯɕiki
タイル	taii̥ɾɯ
タイル	taiɾɯ
タイル張り	taeɾɯbaɾi
タイル方式	taiɾɯhoɯɕiki
タイル絵	taiɾɯe
タイワンガサミ	taiɰᵝaɴgasami
タイワンキンギョ	taiɰᵝaɴkiɴgjo
タイワンコマツナギ	taiɰᵝaɴkomatsɯnagi
タイワンザメ	taiɰᵝaɴzame
タイワンザメ属	taiɰᵝaɴzamezokɯ
タイワンザメ科	taiɰᵝaɴzameka
タイワンザル	taiɰᵝaɴzaɾɯ
タイワンジカ	taiɰᵝaɴdʑika
タイワンスズメダイ	taiɰᵝaɴsɯzɯmedai
タイワンドジョウ	taiɰᵝaɴdodʑoɯ
タイワンヤジブカ	taiɰᵝaɴjadʑibɯka
タイワンヤマイモ	taiɰᵝaɴjamaimo
タイワンヤモリザメ	taiɰᵝaɴjamoɾizame
タイワンリス	taiɰᵝaɴɾisɯ
タイ・ダイ	tai dai
タイ人	taidʑiɴ
タイ人	tʰa˥˥i˥˩
タイ国	taikokɯ
タイ土竜	taimogɯɾa
タイ料理	taiɾjoɯɾi
タイ焼き	taijaki
タイ王国	taiokokɯ
タイ科	taika
タイ米	taimai
タイ米	tajmai
タイ記録	taikiɾokɯ
タイ語	taigo
タイ語派	taigoha
タウシグ	taoɕigɯ
タウナギ	taɯnagi
タウリン	taurinː
タウリン	taɯɾiɴ
タウルケット	taɯɾɯketːo
タウン	taɯɴ
タウンウェア	taɯɴɯea
タウンウエア	taɯɴɯea
タウンウォッチング	taɯɴɯotɕːiɴgɯ
タウンシップ	taɯɴɕipːɯ
タウンハウス	taɯɴhaɯsɯ
タウンページ	taɯɴpeːdʑi
タウンミーティング	taɯɴmiːteiɴgɯ
タウン・ウォッチング	taɯɴ ɯotɕːiɴgɯ
タウン・ハウス	taɯɴ haɯsɯ
タウン・ページ	taɯɴ peːdʑi
タウン・ミーティング	taɯɴ miːteiɴgɯ
タウ粒子	taɯɾjɯɯɕi
タオ	tao
タオル	taoɾɯ
タオル	taːɯ
タオルで隠す	taoɾɯdekakɯsɯ
タオルを冷たい水で湿して	taoru o tsumetai mizu de ɕimeɕite
タオルを投げる	taoɾɯonageɾɯ
タオルケット	taoɾɯketːo
タオルケット	tao̞ɾuketːo
タオル地	taoɾɯdʑi
タオル掛け	taoɾɯkake
タカ	taka
タカ	tɑkɑ
タカアキ	takaaki
タカオ	takao
タカキ	takaki
タカキビ	takakibi
タカサゴ	takasago
タカサゴスズメダイ	takasagosɯzɯmedai
タカサゴヒメジ	takasagoçimedʑi
タカサゴユリ	takasagojɯɾi
タカジアスターゼ	takadʑiasɯtaːze
タカトシ	takatoɕi
タカナ	takana
タカネザクラ	takanezakɯɾa
タカネナナカマド	takanenanakamado
タカノツメ	takanotsɯme
タカノハダイ	takanohadai
タカハヤ	takahaja
タカヒコ	takahiko
タカヒロ	takahiro
タカビー	taka bi
タカビー	takabiː
タカピー	takapiː
タカベ	takabe
タカヤ	takaja
タカヨモギ	takajomogi
タカラガイ	takaɾagai
タカラジェンヌ	takaɾadʑieɴnɯ
タカラダニ	takaɾadani
タカ派	takaha
タカ艾	takajomogi
タカ蓬	takajomogi
タガが外れる	tagagahazɯɾeɾɯ
タガメ	tagame
タガヤサン	taga jaɾɯsaɴ
タガログ族	tagaɾogɯzokɯ
タガログ語	tagaɾogɯgo
タキオン	takioɴ
タキゲンロクダイ	takigeɴɾokɯdai
タキゲンロクダイ属	takigeɴɾokɯdaizokɯ
タキシング	akʲi̥ɕi̥ɴgɯ
タキシー	takiɕiː
タキシード	takiɕiːdo
タキストスコープ	takisɯtosɯkoːpɯ
タキベラ	takibeɾa
タキベラ属	takibeɾazokɯ
タキメーター	takimeːtaː
タギング	tagiɴgɯ
タク	taku
タクる	takɯɾɯ
タクシー	takɯtɕiː
タクシー	takɯɕiː
タクシー	tɑksʲi
タクシーで	takɯɕiide
タクシーに乗らねばなりませんでした	takuɕiː ni noraneba narimasendeɕita
タクシーに乗る	takɯɕiːninoɾɯ
タクシーの中に忘れてあった	takuɕiː no nakanivasurete atta
タクシーメーター	takɯɕiːmeːtaː
タクシーング	ɾakɯɕiːɴgɯ
タクシー乗り場	takɯɕiːnoɾiba
タクシー代	takɯɕiːdai
タクシー運転手	takiɕiːɯɴteɴɕɯ
タクシー運転手	takɯtɕiːɯɴteɴɕɯ
タクソン	takɯsoɴ
タクティカル	taktikaɾɯ
タクティカルペン	takutikaɾɯpeɴ
タクティック	takɯteikːɯ
タクティックス	takɯteikːɯsɯ
タクト	takuto
タクト	takɯto
タクト	takɯtok
タクトシステム	takɯtoɕisɯtemɯ
タクトタイム	takɯtotaimɯ
タクト・システム	takɯto ɕisɯtemɯ
タクト・タイム	takɯto taimɯ
タグ	tagu
タグ	tagɯ
タグジャンプ	tagɯdʑaɴpɯ
タグチーム	tagɯtɕiːmɯ
タグボート	tagɯ boːto
タグボート	tagɯboːto
タグボート	tagɯbõːto
タグマッチ	tagɯmatɕːi
タグライン	tagɯɾaiɴ
タグ・ジャンプ	tagɯ dʑaɴpɯ
タグ・チーム	tagɯ tɕiːmɯ
タグ・マッチ	tagɯ matɕːi
タグ・ライン	tagɯ ɾaiɴ
タグ付き	tagɯtsɯki
タグ付き型	tagɯtsɯkigata
タグ付け	tagutsuke
タグ付け	tagɯtsɯke
タグｒａｍ	tagɯɾamɯ
タケアキ	takeaki
タケオ	takeo
タケガラス	takegaɾasɯ
タケシ	takeɕi
タケゾウ	takezoː
タケトシ	taketoɕi
タケノコ	take̞ɾɯnoko
タケノコ族	takenokoːzokɯ
タケノコ継ぎ手	takenokotsɯgite
タケノコ継手	takenokotsɯgite
タケノリ	takenori
タケヒコ	takehiko
タケヒロ	takehiro
タケフミ	takefumi
タケミカヅチ	takemikazɯtɕi
タケユキ	takejuki
タケル	takeru
タケロウ	takeroː
タゲリ	tageɾi
タコ	tako
タコさんウィンナー	takosaɴɯiɴnaː
